t,a
728,-11.339775641025591
729,-5.9720512820512788
730,-7.7597275641025654
731,-11.227596153846145
732,-13.787852564102559
733,-0.076522435897408342
734,22.956474358974372
735,63.642948717948777
736,68.2147916666666
737,35.835496794871815
738,27.875064102564128
739,-2.9121474358974457
740,-30.100897435897433
741,-78.494246794871785
742,-94.879663461538385
743,-102.36812499999995
744,-95.425913461538585
745,-79.294278846153844
746,-62.04663461538447
747,-17.5971153846154
748,4.3537500000000184
749,33.073445512820491
750,23.10006410256409
751,-23.696762820512856
752,-41.531217948717867
753,-27.662916666666671
754,-9.45488782051282
755,27.559999999999956
756,43.214567307692249
757,44.201137820512862
758,35.974503205128208
759,25.417243589743595
760,10.108461538461553
761,-17.723493589743605
762,-25.200769230769225
763,-41.594455128205055
764,-50.214599358974432
765,-75.693205128205179
766,-79.139679487179436
767,-68.022628205128242
768,-69.996586538461457
769,-24.558044871794877
770,-0.22067307692307192
771,29.108157051282031
772,36.7280608974359
773,28.353974358974408
774,13.332131410256416
775,-32.221121794871806
776,-46.019711538461543
777,-54.48108974358972
778,-58.089358974358923
779,-70.335288461538426
780,-61.292692307692363
781,-41.674551282051262
782,-17.947483974358974
783,47.053589743589768
784,69.922660256410168
785,62.249903846153757
786,51.541730769230746
787,28.51913461538463
788,27.362628205128203
789,9.3016987179487209
790,-6.8070192307692174
791,-46.103285256410274
792,-51.3884775641026
793,-33.763653846153865
794,-19.350448717948719
795,23.528621794871807
796,37.732740384615376
797,49.164054487179506
798,49.788076923076872
799,42.322516025641029
800,35.915064102564095
801,-31.363253205128213
802,-47.548285256410281
803,-72.3685897435897
804,-83.226346153846052
805,-80.42892628205125
806,-72.50645833333337
807,-54.822596153846213
808,-46.708926282051316
809,-25.117339743589707
810,-12.900673076923063
811,17.47786858974359
812,38.278173076923053
813,88.3415705128205
814,105.69094551282053
815,115.08072115384618
816,93.396057692307622
817,10.070048076923099
818,-4.7361217948718446
819,-41.557243589743578
820,-46.944583333333355
821,-64.6992628205128
822,-76.246314102564071
823,-73.820544871794922
824,-60.146233974358964
825,-38.264791666666724
826,-28.953173076923065
827,-4.7121955128204966
828,9.1112339743589956
829,25.350224358974351
830,27.849086538461542
831,23.640560897435911
832,11.939727564102528
833,-21.291618589743553
834,-36.686634615384584
835,-53.273429487179484
836,-48.415016025641
837,-40.961185897435954
838,-38.783541666666693
839,-41.329631410256404
840,-39.281394230769237
841,-13.529599358974341
